"election_id","cand_id","n_posts","n_attacks_fb","gender","birthyear","incumbent","party.x","ltw_id","invited","participated","n_tweets","n_attacks_tw","prop_attacks_fb","prop_attacks_tw","invited_bin","participated_bin","any_posts_tweets","jahr","land","wahl","female","age","immigr","party.y","incumb","governing","lr_self","extr_self","lr_party","extr_party","lr_voters","extr_voters","dist_party","dist_voters","big5_extra","big5_agrea","big5_consc","big5_emot","big5_open","race_chance","race_close","media_diffic","media_impact","camp_personal","camp_time","camp_budget","camp_staff","camp_manager"
"ltw_mv_2021",12281,2,0,"male",1999,0,"FPA","NV143877",1,3,2203,326,0,0.147980027235588,1,1,1,2021,12,121,0,22,0,36,0,0,0.5,0,0.2,0.6,0.3,0.4,0.8125,0.714285714285714,0.833333333333333,0.8125,0.933333333333333,0.1875,0.875,0.5,0,0.5,0.5,0.1,100,"10.000 bis unter 30.000 Euro",8,1
"ltw_mv_2021",12512,98,0,"female",1985,0,"CDU","DZ754825",1,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",13009,39,0,"male",1985,1,"AfD","BL984414",1,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",13097,8,1,"male",2001,0,"DIE LINKE","GG371494",2,0,8,0,0.125,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",13588,43,4,"male",1973,0,"AfD","BM838894",1,0,4928,561,0.0930232558139535,0.113839285714286,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",13589,17,0,"female",1970,0,"DIE LINKE","GH316893",1,2,1,0,0,0,1,1,1,2021,12,121,1,51,NA,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,60,"5.000 Euro bis unter 10.000 Euro",6,0
"ltw_mv_2021",13668,141,3,"male",1973,0,"CDU","EF249734",1,0,1,0,0.0212765957446809,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",13674,41,0,"male",1959,1,"SPD","WX279454",1,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",14052,17,0,"male",1995,0,"SPD","XA271257",1,0,15,3,0,0.2,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",14271,14,0,"male",1976,0,"dieBasis","KH564622",1,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",14410,62,11,"male",1988,0,"AfD","BP616529",1,3,2162,153,0.17741935483871,0.0707678075855689,1,1,1,2021,12,121,0,33,0,3,0,0,0.7,0.4,0.8,0.6,0.7,0.4,0.5625,0.571428571428571,0.75,0.1875,0.6,0.25,0.75,1,0,0.75,0.75,0.4,8,"5.000 Euro bis unter 10.000 Euro",2,0
"ltw_mv_2021",14565,87,4,"male",1971,1,"AfD","BQ719354",1,0,2296,431,0.0459770114942529,0.187717770034843,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",14580,29,0,"female",1964,0,"AfD","BR834786",1,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",14728,1,0,"male",1982,0,"DIE LINKE","GM658725",2,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",14760,50,0,"female",1980,0,"SPD","XC931547",1,1,1,0,0,0,1,1,1,2021,12,121,1,41,0,2,0,1,0.2,0.6,0.2,0.6,0.3,0.4,0.625,0.5,0.916666666666667,0.4375,0.466666666666667,0.5,1,0,0.5,1,NA,0.4,20,"1.000 Euro bis unter 5.000 Euro",3,0
"ltw_mv_2021",14830,38,4,"male",1979,0,"AfD","BV979114",1,2,1,0,0.105263157894737,0,1,1,1,2021,12,121,0,42,0,3,0,0,0.7,0.4,0.7,0.4,0.7,0.4,0.625,0.571428571428571,1,0.6875,0.666666666666667,0.4375,0.5625,0,0.5,0.75,1,0.8,40,"5.000 Euro bis unter 10.000 Euro",5,0
"ltw_mv_2021",14842,35,0,"male",1962,0,"SPD","XD551858",1,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ltw_mv_2021",14934,197,9,"male",1966,0,"AfD","BW816825",1,0,475,70,0.0456852791878173,0.147368421052632,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
